tweet_id,favorites,user_followers,user_favourites,date_time
892420643555336193,33744,9326887,147183,2017-08-01 16:23:56
892177421306343426,29274,9326887,147183,2017-08-01 00:17:27
891815181378084864,22003,9326887,147183,2017-07-31 00:18:03
891689557279858688,36856,9326887,147183,2017-07-30 15:58:51
891327558926688256,35235,9326887,147183,2017-07-29 16:00:24
891087950875897856,17771,9326887,147183,2017-07-29 00:08:17
890971913173991426,10350,9326887,147183,2017-07-28 16:27:12
890729181411237888,56734,9326887,147183,2017-07-28 00:22:40
890609185150312448,24466,9326887,147183,2017-07-27 16:25:51
890240255349198849,27889,9326887,147183,2017-07-26 15:59:51
890006608113172480,26988,9326887,147183,2017-07-26 00:31:25
889880896479866881,24522,9326887,147183,2017-07-25 16:11:53
889665388333682689,41957,9326887,147183,2017-07-25 01:55:32
889638837579907072,23614,9326887,147183,2017-07-25 00:10:02
889531135344209921,13330,9326887,147183,2017-07-24 17:02:04
889278841981685760,22068,9326887,147183,2017-07-24 00:19:32
888917238123831296,25576,9326887,147183,2017-07-23 00:22:39
888804989199671297,22420,9326887,147183,2017-07-22 16:56:37
888554962724278272,17279,9326887,147183,2017-07-22 00:23:06
888078434458587136,19121,9326887,147183,2017-07-20 16:49:33
887705289381826560,26567,9326887,147183,2017-07-19 16:06:48
887517139158093824,40646,9326887,147183,2017-07-19 03:39:09
887473957103951883,60078,9326887,147183,2017-07-19 00:47:34
887343217045368832,29532,9326887,147183,2017-07-18 16:08:03
887101392804085760,26929,9326887,147183,2017-07-18 00:07:08
886983233522544640,30299,9326887,147183,2017-07-17 16:17:36
886736880519319552,10481,9326887,147183,2017-07-16 23:58:41
886680336477933568,19695,9326887,147183,2017-07-16 20:14:00
886366144734445568,18515,9326887,147183,2017-07-15 23:25:31
886267009285017600,105,9326887,147183,2017-07-15 16:51:35
886258384151887873,24478,9326887,147183,2017-07-15 16:17:19
886054160059072513,0,9326887,147183,2017-07-15 02:45:48
885984800019947520,28530,9327297,147186,2017-07-14 22:10:11
885528943205470208,31545,9326887,147183,2017-07-13 15:58:47
885518971528720385,17972,9326887,147183,2017-07-13 15:19:09
885311592912609280,0,9326887,147183,2017-07-13 01:35:06
885167619883638784,19212,9326887,147183,2017-07-12 16:03:00
884925521741709313,67144,9326887,147183,2017-07-12 00:01:00
884876753390489601,24333,9326887,147183,2017-07-11 20:47:12
884562892145688576,21273,9326887,147183,2017-07-11 00:00:02
884441805382717440,23814,9326887,147183,2017-07-10 15:58:53
884247878851493888,63145,9326887,147183,2017-07-10 03:08:17
884162670584377345,17914,9326887,147183,2017-07-09 21:29:42
883838122936631299,19125,9326887,147183,2017-07-09 00:00:04
883482846933004288,40110,9326887,147183,2017-07-08 00:28:19
883360690899218434,19912,9326887,147183,2017-07-07 16:22:55
883117836046086144,32443,9326887,147183,2017-07-07 00:17:54
882992080364220416,20942,9326887,147183,2017-07-06 15:58:11
882762694511734784,24743,9326887,147183,2017-07-06 00:46:41
882627270321602560,24557,9326887,147183,2017-07-05 15:48:34
882268110199369728,39108,9326887,147183,2017-07-04 16:01:23
882045870035918850,25670,9326887,147183,2017-07-04 01:18:17
881906580714921986,21409,9326887,147183,2017-07-03 16:04:48
881666595344535552,44436,9327273,147182,2017-07-03 00:11:11
881633300179243008,113,9326887,147183,2017-07-02 21:58:53
881536004380872706,43347,9326887,147183,2017-07-02 15:32:16
881268444196462592,20449,9326887,147183,2017-07-01 21:49:04
880935762899988482,15020,9326887,147183,2017-06-30 23:47:07
880872448815771648,18684,9326887,147183,2017-06-30 19:35:32
880465832366813184,24977,9326887,147183,2017-06-29 16:39:47
880221127280381952,23620,9326887,147183,2017-06-29 00:27:25
880095782870896641,24283,9326887,147183,2017-06-28 16:09:20
879862464715927552,19665,9326887,147183,2017-06-28 00:42:13
879674319642796034,281,9326887,147183,2017-06-27 12:14:36
879492040517615616,20674,9326887,147183,2017-06-27 00:10:17
879415818425184262,92656,9326887,147183,2017-06-26 19:07:24
879376492567855104,14834,9326887,147183,2017-06-26 16:31:08
879130579576475649,0,9326887,147183,2017-06-26 00:13:58
879050749262655488,19775,9326887,147183,2017-06-25 18:56:45
879008229531029506,16752,9326887,147183,2017-06-25 16:07:47
878776093423087618,17109,9326887,147183,2017-06-25 00:45:22
878604707211726852,26392,9326887,147183,2017-06-24 13:24:20
878404777348136964,0,9326887,147183,2017-06-24 00:09:53
878316110768087041,0,9326887,147183,2017-06-23 18:17:33
878281511006478336,6766,9326887,147183,2017-06-23 16:00:04
878057613040115712,37085,9326887,147183,2017-06-23 01:10:23
877736472329191424,69150,9326887,147183,2017-06-22 03:54:17
877611172832227328,0,9326887,147183,2017-06-21 19:36:23
877556246731214848,19865,9326887,147183,2017-06-21 15:58:08
877316821321428993,24101,9326887,147183,2017-06-21 00:06:44
877201837425926144,23824,9326887,147183,2017-06-20 16:29:50
876838120628539392,18190,9326887,147183,2017-06-19 16:24:33
876537666061221889,21019,9326887,147183,2017-06-18 20:30:39
876484053909872640,16532,9326887,147183,2017-06-18 16:57:37
876120275196170240,24645,9326887,147183,2017-06-17 16:52:05
875747767867523072,22064,9326887,147183,2017-06-16 16:11:53
875144289856114688,19394,9326887,147183,2017-06-15 00:13:52
875097192612077568,24211,9326887,147183,2017-06-14 21:06:43
875021211251597312,22515,9326887,147183,2017-06-14 16:04:48
874680097055178752,24567,9326887,147183,2017-06-13 17:29:20
874434818259525634,0,9326887,147183,2017-06-13 01:14:41
874296783580663808,22923,9326887,147183,2017-06-12 16:06:11
874057562936811520,20081,9326887,147183,2017-06-12 00:15:36
874012996292530176,30071,9326887,147183,2017-06-11 21:18:31
873580283840344065,21345,9326887,147183,2017-06-10 16:39:04
873337748698140672,0,9326887,147183,2017-06-10 00:35:19
873213775632977920,6313,9326887,147183,2017-06-09 16:22:42
872967104147763200,24021,9326887,147183,2017-06-09 00:02:31
872820683541237760,13054,9326887,147183,2017-06-08 14:20:41
872620804844003328,18301,9326887,147183,2017-06-08 01:06:27
872486979161796608,36052,9326887,147183,2017-06-07 16:14:40
872122724285648897,30159,9326887,147183,2017-06-06 16:07:15
871879754684805121,33023,9326887,147183,2017-06-06 00:01:46
871762521631449091,17857,9326887,147183,2017-06-05 16:15:56
871515927908634625,17865,9326887,147183,2017-06-04 23:56:03
871166179821445120,0,9326887,147183,2017-06-04 00:46:17
871102520638267392,18512,9326887,147183,2017-06-03 20:33:19
871032628920680449,20132,9326887,147183,2017-06-03 15:55:36
870804317367881728,29740,9326887,147183,2017-06-03 00:48:22
870726314365509632,105,9326887,147183,2017-06-02 19:38:25
870656317836468226,10874,9326887,147183,2017-06-02 15:00:16
870374049280663552,73831,9326887,147183,2017-06-01 20:18:38
870308999962521604,19454,9326887,147183,2017-06-01 16:00:09
870063196459192321,32357,9326887,147183,2017-05-31 23:43:25
869772420881756160,37943,9326887,147183,2017-05-31 04:27:59
869702957897576449,25000,9326887,147183,2017-05-30 23:51:58
869596645499047938,14166,9326887,147183,2017-05-30 16:49:31
869227993411051520,18106,9326887,147183,2017-05-29 16:24:37
868880397819494401,57850,9326887,147183,2017-05-28 17:23:24
868639477480148993,0,9326887,147183,2017-05-28 01:26:04
868622495443632128,23611,9326887,147183,2017-05-28 00:18:35
868552278524837888,8951,9326887,147183,2017-05-27 19:39:34
867900495410671616,21563,9326887,147183,2017-05-26 00:29:37
867774946302451713,30225,9326887,147183,2017-05-25 16:10:44
867421006826221569,14325,9326887,147183,2017-05-24 16:44:18
867072653475098625,0,9326887,147183,2017-05-23 17:40:04
867051520902168576,28664,9326887,147183,2017-05-23 16:16:06
866720684873056260,17840,9326887,147183,2017-05-22 18:21:28
866686824827068416,17092,9326887,147183,2017-05-22 16:06:55
866450705531457537,108672,9326887,147183,2017-05-22 00:28:40
866334964761202691,46507,9326887,147183,2017-05-21 16:48:45
866094527597207552,0,9326887,147183,2017-05-21 00:53:21
865718153858494464,22891,9326887,147183,2017-05-19 23:57:46
865359393868664832,23561,9326887,147183,2017-05-19 00:12:11
865006731092295680,25002,9326887,147183,2017-05-18 00:50:50
864873206498414592,28808,9326887,147183,2017-05-17 16:00:15
