,tweet_id,source,text,expanded_urls,name,jpg_url,img_num,favorites,user_followers,user_favourites,date_time,day,month,year,rating,stage,breed,confidence
0,890240255349198849,http://twitter.com/download/iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,27889,9326887,147183,2017-07-26 15:59:51,26,07,2017,14.0,doggo,Pembroke,0.511319
1,884162670584377345,http://twitter.com/download/iphone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,https://twitter.com/dog_rates/status/884162670584377345/photo/1,Yogi,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,17914,9326887,147183,2017-07-09 21:29:42,09,07,2017,12.0,doggo,German_shepherd,0.707046
2,872967104147763200,http://twitter.com/download/iphone,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1",None,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,2,24021,9326887,147183,2017-06-09 00:02:31,09,06,2017,12.0,doggo,Labrador_retriever,0.476913
3,871515927908634625,http://twitter.com/download/iphone,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",Napolean,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,2,17865,9326887,147183,2017-06-04 23:56:03,04,06,2017,12.0,doggo,komondor,0.974781
4,869596645499047938,http://twitter.com/download/iphone,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",Scout,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,1,14166,9326887,147183,2017-05-30 16:49:31,30,05,2017,12.0,doggo,Chihuahua,0.955156
5,858843525470990336,http://twitter.com/download/iphone,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge https://t.co/cUeDMlHJbq,https://twitter.com/dog_rates/status/858843525470990336/photo/1,None,https://pbs.twimg.com/media/C-s5oYZXkAAMHHq.jpg,1,14102,9326887,147183,2017-05-01 00:40:27,01,05,2017,13.0,doggo,golden_retriever,0.57812
6,855851453814013952,http://twitter.com/download/iphone,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel,https://twitter.com/dog_rates/status/855851453814013952/photo/1,None,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg,1,41859,9326887,147183,2017-04-22 18:31:02,22,04,2017,13.0,doggo,flat-coated_retriever,0.321676
7,854010172552949760,http://twitter.com/download/iphone,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs https://t.co/TXdT3tmuYk","https://twitter.com/dog_rates/status/854010172552949760/photo/1,https://twitter.com/dog_rates/status/854010172552949760/photo/1",None,https://pbs.twimg.com/media/C9oNt91WAAAFSLS.jpg,1,14820,9326887,147183,2017-04-17 16:34:26,17,04,2017,11.0,doggo,English_springer,0.354733
8,846514051647705089,http://twitter.com/download/iphone,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1",Barney,https://pbs.twimg.com/media/C79sB4xXwAEvwKY.jpg,2,41152,9326887,147183,2017-03-28 00:07:32,28,03,2017,13.0,doggo,golden_retriever,0.650003
9,845397057150107648,http://twitter.com/download/iphone,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o","https://www.gofundme.com/help-save-a-pup,https://twitter.com/dog_rates/status/845397057150107648/photo/1,https://twitter.com/dog_rates/status/845397057150107648/photo/1",Mimosa,https://pbs.twimg.com/media/C7t0IzLWkAINoft.jpg,1,7083,9326887,147183,2017-03-24 22:08:59,24,03,2017,13.0,doggo,Dandie_Dinmont,0.394404
10,836753516572119041,http://twitter.com/download/iphone,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 https://t.co/GZmNEdyoJY,https://twitter.com/dog_rates/status/836753516572119041/photo/1,Meera,https://pbs.twimg.com/media/C5y-4VwWcAIcaoj.jpg,1,18115,9326887,147183,2017-03-01 01:42:39,01,03,2017,12.0,doggo,schipperke,0.0115635
